"Year","F","Species"
2002,0.556,"Pleuronectes platessa"
2003,0.6028,"Pleuronectes platessa"
2004,0.4701,"Pleuronectes platessa"
2005,0.3802,"Pleuronectes platessa"
2006,0.3719,"Pleuronectes platessa"
2007,0.3288,"Pleuronectes platessa"
2008,0.2564,"Pleuronectes platessa"
2009,0.2278,"Pleuronectes platessa"
2010,0.2211,"Pleuronectes platessa"
2011,0.2139,"Pleuronectes platessa"
2012,0.2345,"Pleuronectes platessa"
2013,0.1853,"Pleuronectes platessa"
2014,0.1743,"Pleuronectes platessa"
2015,0.1735,"Pleuronectes platessa"
1991,0.627,"Pollachius virens"
1992,0.608,"Pollachius virens"
1993,0.641,"Pollachius virens"
1994,0.569,"Pollachius virens"
1995,0.575,"Pollachius virens"
1996,0.507,"Pollachius virens"
1997,0.439,"Pollachius virens"
1998,0.447,"Pollachius virens"
1999,0.482,"Pollachius virens"
2000,0.418,"Pollachius virens"
2001,0.385,"Pollachius virens"
2002,0.4,"Pollachius virens"
2003,0.414,"Pollachius virens"
2004,0.361,"Pollachius virens"
2005,0.372,"Pollachius virens"
2006,0.388,"Pollachius virens"
2007,0.367,"Pollachius virens"
2008,0.437,"Pollachius virens"
2009,0.44,"Pollachius virens"
2010,0.421,"Pollachius virens"
2011,0.421,"Pollachius virens"
2012,0.375,"Pollachius virens"
2013,0.326,"Pollachius virens"
2014,0.285,"Pollachius virens"
2015,0.266,"Pollachius virens"
1991,0.28,"Scomber scombrus"
1992,0.308,"Scomber scombrus"
1993,0.333,"Scomber scombrus"
1994,0.344,"Scomber scombrus"
1995,0.331,"Scomber scombrus"
1996,0.303,"Scomber scombrus"
1997,0.286,"Scomber scombrus"
1998,0.291,"Scomber scombrus"
1999,0.312,"Scomber scombrus"
2000,0.341,"Scomber scombrus"
2001,0.385,"Scomber scombrus"
2002,0.421,"Scomber scombrus"
2003,0.449,"Scomber scombrus"
2004,0.418,"Scomber scombrus"
2005,0.334,"Scomber scombrus"
2006,0.312,"Scomber scombrus"
2007,0.357,"Scomber scombrus"
2008,0.328,"Scomber scombrus"
2009,0.287,"Scomber scombrus"
2010,0.273,"Scomber scombrus"
2011,0.266,"Scomber scombrus"
2012,0.248,"Scomber scombrus"
2013,0.256,"Scomber scombrus"
2014,0.279,"Scomber scombrus"
2015,0.289,"Scomber scombrus"
1991,0.66,"Sprattus sprattus"
1992,0.767,"Sprattus sprattus"
1993,1.775,"Sprattus sprattus"
1994,1.005,"Sprattus sprattus"
1995,1.399,"Sprattus sprattus"
1996,0.671,"Sprattus sprattus"
1997,0.665,"Sprattus sprattus"
1998,1.369,"Sprattus sprattus"
1999,0.763,"Sprattus sprattus"
2000,1.06,"Sprattus sprattus"
2001,1.483,"Sprattus sprattus"
2002,1.633,"Sprattus sprattus"
2003,1.157,"Sprattus sprattus"
2004,1.97,"Sprattus sprattus"
2005,1.028,"Sprattus sprattus"
2006,1.249,"Sprattus sprattus"
2007,1.537,"Sprattus sprattus"
2008,1.129,"Sprattus sprattus"
2009,0.853,"Sprattus sprattus"
2010,0.75,"Sprattus sprattus"
2011,0.869,"Sprattus sprattus"
2012,0.858,"Sprattus sprattus"
2013,0.442,"Sprattus sprattus"
2014,0.713,"Sprattus sprattus"
2015,1.265,"Sprattus sprattus"
1991,0.634,"Trisopterus esmarkii"
1992,0.613,"Trisopterus esmarkii"
1993,0.703,"Trisopterus esmarkii"
1994,0.563,"Trisopterus esmarkii"
1995,0.386,"Trisopterus esmarkii"
1996,0.349,"Trisopterus esmarkii"
1997,0.344,"Trisopterus esmarkii"
1998,0.303,"Trisopterus esmarkii"
1999,0.366,"Trisopterus esmarkii"
2000,0.343,"Trisopterus esmarkii"
2001,0.258,"Trisopterus esmarkii"
2002,0.377,"Trisopterus esmarkii"
2003,0.245,"Trisopterus esmarkii"
2004,0.203,"Trisopterus esmarkii"
2005,0,"Trisopterus esmarkii"
2006,0.318,"Trisopterus esmarkii"
2007,0.035,"Trisopterus esmarkii"
2008,0.07,"Trisopterus esmarkii"
2009,0.12,"Trisopterus esmarkii"
2010,0.132,"Trisopterus esmarkii"
2011,0.069,"Trisopterus esmarkii"
2012,0.197,"Trisopterus esmarkii"
2013,0.366,"Trisopterus esmarkii"
2014,0.298,"Trisopterus esmarkii"
2015,0.273,"Trisopterus esmarkii"
